TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
North Alabama,ASun,35,24,110.9,107.0,0.6011,51.3,50.4,12.8,16.6,33.4,28.8,31.0,28.2,51.0,51.6,34.6,32.5,66.9,-5.8,,,2022
California,ACC,33,14,110.0,106.2,0.6007,47.8,53.0,16.6,16.3,34.7,28.8,38.9,32.8,48.2,51.3,31.5,37.6,67.8,-8.2,,,2022
Cornell,Ivy,29,18,114.9,111.0,0.5972,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,71.0,-7.1,,,2022
Kennesaw St.,CUSA,33,19,107.3,103.9,0.5933,49.3,48.3,19.7,15.1,32.5,27.4,38.8,42.6,52.2,48.1,30.6,32.5,70.4,-7.2,,,2022
South Alabama,SB,32,21,106.9,103.5,0.5893,50.8,48.5,14.6,20.6,28.3,32.2,33.6,24.4,53.6,46.9,31.7,33.1,63.4,-6.2,,,2022
Duquesne,A10,32,13,106.4,103.2,0.5868,50.0,50.2,18.3,20.0,32.9,30.7,30.0,39.5,49.2,48.1,34.0,35.9,65.3,-13.0,,,2022
Nebraska Omaha  ,Sum,35,22,112.1,109.1,0.5778,52.6,53.2,15.6,14.8,29.8,25.9,36.0,37.2,52.1,53.5,35.6,35.2,67.8,-6.4,,,2022
South Dakota St.,Sum,32,20,109.8,106.9,0.5765,53.6,50.9,17.6,12.7,33.6,21.4,31.2,29.9,54.5,52.3,34.8,32.9,69.3,-6.1,,,2022
Montana  ,BSky,35,25,111.9,109.0,0.5737,56.0,52.5,16.1,15.5,22.5,29.0,35.6,32.0,56.9,53.7,36.3,33.6,67.3,-3.0,,,2022
Louisiana Tech,CUSA,32,20,107.8,105.2,0.5676,52.5,47.8,18.9,14.7,29.3,28.7,35.0,32.0,53.5,48.8,34.1,30.8,64.7,-6.4,,,2022
Furman,SC,35,25,110.2,107.8,0.5633,53.7,49.6,17.0,16.4,30.1,31.0,34.6,28.9,53.5,49.5,35.9,33.1,66.0,-4.3,,,2022
Wichita St.,Amer,34,19,106.5,104.3,0.5604,48.6,50.0,16.3,15.5,32.0,28.8,34.9,28.6,49.9,49.7,30.2,33.6,68.9,-7.3,,,2022
Texas A&M Corpus Chris,Slnd,34,20,106.8,104.6,0.5587,52.8,49.9,17.8,18.3,31.9,30.7,36.7,40.4,53.0,48.4,34.7,35.0,67.7,-8.0,,,2022
Robert Morris  ,Horz,35,26,106.7,104.6,0.5579,51.2,50.7,18.2,18.7,35.2,28.1,37.6,30.3,50.7,50.6,34.6,34.0,68.2,-4.0,,,2022
Wofford  ,SC,35,19,112.0,109.9,0.5524,53.2,51.9,16.9,14.7,35.5,26.3,30.6,36.4,54.2,52.0,34.8,34.5,64.2,-9.6,,,2022
Cal St. Northridge,BW,33,22,107.5,105.6,0.5508,51.7,50.1,18.8,20.2,35.2,24.3,35.6,44.8,51.6,46.7,34.7,35.7,72.4,-5.0,,,2022
Seattle,WAC,32,14,103.0,101.3,0.5482,46.5,51.2,17.0,20.9,29.9,27.0,42.3,36.7,46.3,53.3,31.3,31.9,66.2,-12.1,,,2022
Miami OH,MAC,34,25,108.2,106.5,0.5456,55.4,51.3,17.4,19.1,27.5,29.0,28.1,33.3,53.9,51.9,38.2,33.6,69.1,-4.3,,,2022
Davidson,A10,33,17,109.1,107.6,0.5422,52.4,52.3,14.6,15.4,24.4,26.9,29.2,28.1,53.3,51.9,34.1,35.3,66.0,-9.2,,,2022
Samford,SC,33,22,110.9,109.3,0.5419,54.6,53.4,18.6,21.6,34.7,33.5,29.4,42.6,53.9,54.1,36.9,35.0,71.1,-4.8,,,2022
Tulane,Amer,34,19,107.9,106.5,0.5386,51.7,49.0,16.0,17.5,26.8,32.1,35.3,32.7,52.4,49.1,33.8,32.7,67.1,-8.6,,,2022
UTEP,CUSA,33,18,105.8,104.3,0.5385,49.3,52.4,16.6,22.0,25.4,32.4,37.0,40.0,47.7,54.0,34.6,33.4,68.7,-8.4,,,2022
