TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
Kansas,B12,R32,35,25,0.7142857142857143,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34.0,35.5,68.2,6.9,2,1,2014,1,1,0,0,0,0,0,2
Syracuse,ACC,R32,34,28,0.8235294117647058,114.2,92.8,0.9156,48.2,48.0,14.8,21.9,38.1,31.5,38.2,36.7,47.7,45.5,33.1,34.5,61.5,7.9,3,1,2014,1,1,0,0,0,0,0,2
UCLA,P12,S16,37,28,0.7567567567567568,119.0,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53.0,48.6,38.0,34.4,70.2,4.5,4,1,2014,1,1,1,0,0,0,0,3
VCU,A10,R64,35,26,0.7428571428571429,108.3,89.8,0.8955,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,45.6,48.8,34.9,30.3,70.8,3.6,5,0,2014,1,0,0,0,0,0,0,1
Ohio St.,B10,R64,35,25,0.7142857142857143,108.4,88.5,0.9107,50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,51.1,45.9,32.4,29.3,65.4,4.5,6,1,2014,1,0,0,0,0,0,0,1
New Mexico,MWC,R64,34,27,0.7941176470588235,112.8,95.7,0.8693,51.1,45.0,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,66.2,4.4,7,0,2014,1,0,0,0,0,0,0,1
Gonzaga,WCC,R32,35,28,0.8,113.6,93.3,0.9064,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39.0,31.8,66.5,4.0,8,0,2014,1,1,0,0,0,0,0,2
Pittsburgh,ACC,R32,36,26,0.7222222222222222,117.1,94.0,0.9261,50.7,46.7,16.3,19.2,37.2,29.0,44.3,36.4,50.1,45.5,35.1,32.6,63.8,4.1,9,1,2014,1,1,0,0,0,0,0,2
Stanford,P12,S16,36,23,0.6388888888888888,111.7,96.5,0.8436,51.3,48.0,17.0,17.0,29.3,28.1,45.0,37.0,49.9,45.8,36.4,34.9,67.2,1.1,10,1,2014,1,1,1,0,0,0,0,3
Dayton,A10,E8,37,26,0.7027027027027027,113.0,99.1,0.8188,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43.0,50.4,48.3,37.7,33.2,65.4,0.6,11,0,2014,1,1,1,1,0,0,0,4
